FECHA;FECHAAPERTURA;TARJETA;CORREDOR;LINEA;SENTIDO
27/01/2019 12:06:13 AM;26/01/2019 10:50:07 PM;5748869;Cor 6 Naranja;L60;Vuelta
27/01/2019 12:06:14 AM;26/01/2019 11:24:44 PM;5489756;Cor 4 Amarillo;L43;Vuelta
27/01/2019 12:06:16 AM;26/01/2019 11:24:44 PM;5489756;Cor 4 Amarillo;L43;Vuelta
27/01/2019 12:06:19 AM;26/01/2019 11:29:08 PM;3045361;Cor 3 Rojo;L35;Ida
27/01/2019 12:06:22 AM;26/01/2019 11:35:40 PM;4064316;Cor 4 Amarillo;L40;Ida
27/01/2019 12:06:24 AM;26/01/2019 11:35:40 PM;4887021;Cor 4 Amarillo;L40;Ida
27/01/2019 12:06:24 AM;26/01/2019 11:24:44 PM;4673072;Cor 4 Amarillo;L43;Vuelta
27/01/2019 12:06:25 AM;26/01/2019 11:24:26 PM;4911723;Cor 5 Amarillo;L54;Ida
27/01/2019 12:06:27 AM;26/01/2019 11:24:26 PM;8097537;Cor 5 Amarillo;L54;Ida
27/01/2019 12:06:31 AM;26/01/2019 11:25:48 PM;6084015;Cor 7 Azul;L72;Ida
27/01/2019 12:06:31 AM;26/01/2019 10:13:02 PM;4423285;Cor 8 Rojo;L82;Vuelta
27/01/2019 12:06:32 AM;26/01/2019 11:29:08 PM;8001594;Cor 3 Rojo;L35;Ida
27/01/2019 12:06:35 AM;26/01/2019 10:21:01 PM;5698281;Cor 6 Naranja;L62;Vuelta
27/01/2019 12:06:39 AM;26/01/2019 10:21:01 PM;5698281;Cor 6 Naranja;L62;Vuelta
27/01/2019 12:06:39 AM;26/01/2019 11:25:18 PM;5521051;Cor 6 Naranja;L62;Ida
27/01/2019 12:06:39 AM;27/01/2019 12:02:50 AM;4917488;Cor 1 Naranja;L16;Vuelta
27/01/2019 12:06:40 AM;26/01/2019 11:41:48 PM;5766408;Cor 5 Amarillo;L50;Ida
27/01/2019 12:06:41 AM;26/01/2019 11:57:45 PM;8007245;Cor 4 Amarillo;L43;Ida
